q_c_seed,lambda_1,lambda_2,lambda_3,aa,tau,cdist,ci_prob_mean,mse
4,0.1,1,0,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1.5,0,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,2,0,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0,0.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0.5,0.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1,0.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1.5,0.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,2,0.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0,1,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0.5,1,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1,1,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1.5,1,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,2,1,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0,1.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0.5,1.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1,1.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,1.5,1.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,2,1.5,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0,2,1.2,0,1.661766451,0.811014907,0.807913965
2,0.6,0,1.5,1.2,0,0.615880097,0.808367876,0.808644377
2,0.6,0.5,1.5,1.2,0,0.615880097,0.808367876,0.808644377
2,0.6,1,1.5,1.2,0,0.615880097,0.808367876,0.808644377
2,0.6,1.5,1.5,1.2,0,0.615880097,0.808367876,0.808644377
2,0.6,2,1.5,1.2,0,0.615880097,0.808367876,0.808644377
2,0.6,0,1,1.2,0,0.615886017,0.808368645,0.80864954
2,0.6,0.5,1,1.2,0,0.615886017,0.808368645,0.80864954
2,0.6,1,1,1.2,0,0.615886017,0.808368645,0.80864954
2,0.6,1.5,1,1.2,0,0.615886017,0.808368645,0.80864954
2,0.6,2,1,1.2,0,0.615886017,0.808368645,0.80864954
2,0.6,0,0.5,1.2,0,0.615891393,0.808367267,0.80865339
2,0.6,0.5,0.5,1.2,0,0.615891393,0.808367267,0.80865339
2,0.6,1.5,0.5,1.2,0,0.615891393,0.808367267,0.80865339
2,0.6,1,0.5,1.2,0,0.615891393,0.808367267,0.80865339
2,0.6,2,0.5,1.2,0,0.615891393,0.808367267,0.80865339
2,0.6,0,0,1.2,0,0.61589745,0.808368392,0.808655445
2,0.6,0.5,0,1.2,0,0.61589745,0.808368392,0.808655445
2,0.6,1,0,1.2,0,0.61589745,0.808368392,0.808655445
2,0.6,1.5,0,1.2,0,0.61589745,0.808368392,0.808655445
2,0.6,2,0,1.2,0,0.61589745,0.808368392,0.808655445
3,0.3,1,1.5,1.2,0,0.674512395,0.807017796,0.872889792
3,0.3,1.5,1.5,1.2,0,0.674512469,0.807017796,0.872889792
3,0.3,2,1.5,1.2,0,0.67451247,0.807017796,0.872889792
3,0.3,0.5,1.5,1.2,0,0.674512791,0.807017796,0.872889792
3,0.3,0,1.5,1.2,0,0.674512791,0.807017796,0.872889792
3,0.3,1,0.5,1.2,0,0.67450167,0.807008919,0.872911536
3,0.3,0.5,0.5,1.2,0,0.674501778,0.807008919,0.872911536
3,0.3,0,0.5,1.2,0,0.674501778,0.807008919,0.872911536
3,0.3,1.5,0.5,1.2,0,0.674501884,0.807008919,0.872911536
3,0.3,2,0.5,1.2,0,0.674501884,0.807008919,0.872911536
3,0.3,1,1,1.2,0,0.674509353,0.807008458,0.872914141
3,0.3,1.5,1,1.2,0,0.674509424,0.807008458,0.872914141
3,0.3,2,1,1.2,0,0.674509424,0.807008458,0.872914141
3,0.3,0.5,1,1.2,0,0.67450975,0.807008457,0.872914141
3,0.3,0,1,1.2,0,0.674509751,0.807008457,0.872914141
3,0.3,0,0,1.2,0,0.674497471,0.807006108,0.872917994
3,0.3,0.5,0,1.2,0,0.674497471,0.807006108,0.872917994
3,0.3,1,0,1.2,0,0.674497618,0.807006107,0.872917994
3,0.3,1.5,0,1.2,0,0.674497832,0.807006107,0.872917995
3,0.3,2,0,1.2,0,0.674497832,0.807006107,0.872917995
3,0.8,2,0,1.2,0,0.831526111,0.826575939,0.877469861
3,0.8,1.5,0,1.2,0,0.831526111,0.826575939,0.877469861
3,0.8,0.5,0,1.2,0,0.831526111,0.826575939,0.877469861
