q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0.9,0.3,0.1,0.1,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,0.2,0.1,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,0.5,0.1,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,1,0.1,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,5,0.1,0.1723747122897796,0.5057060921510945,1.7292536199367787,0.6907035175879397
1,1.2,0.9,0.3,0.1,0.2,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,0.2,0.2,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,0.5,0.2,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,1,0.2,0.047824334439920575,0.7366864686848935,0.17678082334653183,0.8526633165829146
1,1.2,0.9,0.3,5,0.2,0.17237471548887276,0.5056980953958138,1.7292536145595883,0.6907035175879397
1,1.2,0.9,0.3,0.1,0.5,0.04700657162212508,0.7380040490428122,0.1704304746827367,0.8618592964824121
1,1.2,0.9,0.3,0.2,0.5,0.04700657162212508,0.7380040490428122,0.1704304746827367,0.8618592964824121
1,1.2,0.9,0.3,0.5,0.5,0.04700657162212508,0.7380040490428122,0.1704304746827367,0.8618592964824121
1,1.2,0.9,0.3,1,0.5,0.04700657162212508,0.7380040490428122,0.1704304746827367,0.8618592964824121
1,1.2,0.9,0.3,5,0.5,0.17237473637638057,0.5056169192384482,1.7292534950374372,0.6907035175879397
1,1.2,0.9,0.3,0.1,1,0.02832197581060812,0.7546188758527543,0.19487472145611898,0.8441708542713567
1,1.2,0.9,0.3,0.2,1,0.02832197581060812,0.7546188758527543,0.19487472145611898,0.8441708542713567
1,1.2,0.9,0.3,0.5,1,0.02832197581060812,0.7546188758527543,0.19487472145611898,0.8441708542713567
1,1.2,0.9,0.3,1,1,0.02832197581060812,0.7546188758527543,0.19487472145611898,0.8441708542713567
1,1.2,0.9,0.3,5,1,0.1723748880128929,0.504038487442458,1.7292524615343414,0.6907035175879397
1,1.2,0.9,0.3,0.1,5,0.02734277131223153,0.7548872124505969,0.1922325302225033,0.8441708542713567
