sample_id,LymphocytesPN,StromaPN,TumorPN,LymphocytesSN,StromaSN,TumorSN
TCGA.55.7728,0.091491621,18.84571944,21.1259106,0.001437017,0.380049608,0.618513376
TCGA.55.7815,0.035014717,12.52112937,13.00788007,0.000277249,0.437877736,0.561845015
TCGA.55.7816,0.239243379,12.41437958,12.15971276,0.002653652,0.595334264,0.402012084
TCGA.55.7903,0,7.201970518,10.12730518,0,0.096571239,0.903428761
TCGA.55.7907,0.115628122,14.25408304,15.97426005,0.003775121,0.408346138,0.587878741
TCGA.55.7910,0.088777029,6.64783839,9.35037705,0.001965607,0.180911874,0.817122519
TCGA.55.7911,3.692652858,15.56015507,19.19499751,0.078680804,0.355540405,0.565778791
TCGA.55.7913,0,9.437437025,13.2986063,0,0.104135259,0.895864741
TCGA.55.7914,0,12.47652918,14.40093643,0,0.228305124,0.771694876
TCGA.55.7994,0.011643711,1.89108329,5.62223388,3.88E-05,0.02123611,0.978725078
TCGA.55.7995,0.401862797,0.760855004,5.417968417,0.004042818,0.006576913,0.98938027
TCGA.55.8085,0,11.45239288,13.3112705,0,0.221386291,0.778613709
TCGA.55.8087,0.331558905,19.24353113,19.64282857,0.009228015,0.351536237,0.639235748
TCGA.55.8089,0.029108699,15.20305943,15.93489712,0.000216578,0.336235851,0.663547571
TCGA.55.8090,0.090382366,12.38442952,14.97591665,0.001286739,0.199284399,0.799428862
TCGA.55.8091,0.010425756,17.03265281,17.56696463,3.70E-05,0.399113082,0.600849905
TCGA.55.8092,0.020721255,8.048160744,12.1102986,0.00030838,0.103333527,0.896358093
TCGA.55.8094,0,11.47354549,11.96826657,0,0.423703524,0.576296476
TCGA.55.8096,0,17.50414572,16.22181708,0,0.662298019,0.337701981
TCGA.55.8097,1.732593156,10.38757127,15.80153079,0.049246478,0.160184234,0.790569288
TCGA.55.8203,0.751216821,11.08082039,13.86528278,0.016363247,0.205361231,0.778275522
TCGA.55.8205,0,17.84998429,19.01592886,0,0.310885144,0.689114856
TCGA.55.8206,0,20.26348142,20.49791157,0,0.535283399,0.464716601
TCGA.55.8207,0.617144636,17.53308712,17.12099891,0.005581078,0.552070958,0.442347964
TCGA.55.8208,7.412644433,8.556596177,17.56834143,0.139926331,0.133228717,0.726844952
TCGA.55.8299,0.054020764,16.39813571,17.23598711,0.000371553,0.416419163,0.583209284
TCGA.55.8302,0,14.23361969,13.68451242,0,0.558589353,0.441410647
TCGA.55.8505,0,13.48324588,13.9342323,0,0.378492303,0.621507697
TCGA.55.8506,0.123986517,13.46412807,13.70976509,0.001225785,0.459626961,0.539147254
TCGA.55.8507,0.132022498,11.80661619,12.46029796,0.000892031,0.45328953,0.545818439
TCGA.55.8508,0.912184586,13.3546173,15.77505941,0.014878754,0.34559839,0.639522855
TCGA.55.8510,0.041738983,18.39174963,19.63113847,0.000331466,0.391642282,0.608026253
TCGA.55.8511,0.153269026,17.1959704,19.5943318,0.001662483,0.421491422,0.576846095
TCGA.55.8512,0,8.940569254,14.55142108,0,0.149557496,0.850442504
TCGA.55.8513,0.009937388,16.55329174,18.89752058,6.55E-05,0.451027795,0.548906741
TCGA.55.8514,0.020303861,15.36575823,15.97023509,0.000244506,0.409376923,0.590378571
TCGA.55.8614,0.028717582,15.35203857,13.27705143,0.000553605,0.693334069,0.306112326
TCGA.55.8615,0.031888741,13.16299882,14.04921127,0.000425523,0.342773279,0.656801197
TCGA.55.8616,1.940097814,13.90661681,9.680164911,0.07364191,0.686362509,0.239995581
TCGA.55.8619,0.461761743,17.77187833,19.73889409,0.009815692,0.373956751,0.616227556
TCGA.55.8620,0,12.53912779,12.7913559,0,0.266018967,0.733981033
TCGA.55.8621,0.008951813,18.69513755,17.42861707,3.05E-05,0.551207155,0.448762303
TCGA.55.A48Z,0,13.56627454,11.53777979,0,0.665996115,0.334003885
TCGA.55.A494,0,10.41193662,13.60185279,0,0.28947809,0.71052191
TCGA.55.A57B,0.196314908,3.413271711,7.827009624,0.003377344,0.04153563,0.955087026
TCGA.64.1676,0.949951991,15.06193767,16.1997258,0.011278417,0.42614641,0.562575173
TCGA.64.1677,0.736742269,16.17647515,14.95093492,0.009285003,0.508821508,0.481893489
TCGA.64.1678,5.825995982,14.70842542,11.12334241,0.093312097,0.668627889,0.238060014
TCGA.64.1679,1.060585979,16.20959011,16.61206292,0.015013187,0.613381311,0.371605503
TCGA.64.1680,0.591920475,14.42661954,16.21942002,0.00966233,0.341651352,0.648686318
TCGA.64.1681,2.558265131,19.60248862,18.30995641,0.041145868,0.562758763,0.396095369
TCGA.64.5774,4.545107751,14.07456438,11.63333073,0.070188045,0.691537403,0.238274552
TCGA.64.5775,0.122973421,13.68052329,15.51547373,0.001013866,0.318642351,0.680343783
TCGA.64.5778,2.122336599,19.51237493,22.14010384,0.045127747,0.560975882,0.393896371
TCGA.64.5779,1.772039743,13.82875617,15.91345586,0.020128172,0.279327058,0.700544769
TCGA.64.5781,5.214646135,23.09886346,19.43744824,0.063101293,0.575509114,0.361389594
TCGA.67.3770,0.036794345,18.25990605,16.38413206,0.000283629,0.661206498,0.338509873
TCGA.67.3771,0.713123829,18.44214675,17.97225986,0.015080648,0.537003974,0.447915377
TCGA.67.3772,0.14459571,12.89283473,9.73108805,0.002640752,0.818004813,0.179354435
TCGA.67.3773,0.083510104,13.90421619,10.30216483,0.000779588,0.808773882,0.190446529
TCGA.67.3774,0.678452201,13.97254682,19.64976374,0.008770422,0.260081246,0.731148332
TCGA.67.4679,0.133879336,14.92001396,11.00387577,0.001154797,0.573538238,0.425306965
TCGA.67.6215,0.364534382,11.24057915,14.83665213,0.004240105,0.252264185,0.74349571
TCGA.67.6216,0.573030057,5.949180664,9.56157887,0.006240987,0.064988354,0.928770659
TCGA.67.6217,0.770981096,17.41010906,17.85708064,0.009113601,0.373038074,0.617848326
TCGA.69.7760,1.40749535,7.791151902,12.04588466,0.025138506,0.126236531,0.848624964
TCGA.69.7761,5.689311291,8.538717733,15.22417544,0.092079179,0.13771338,0.770207441
TCGA.69.7763,0.024166288,15.34189498,20.30008873,0.000262538,0.314893015,0.684844447
TCGA.69.7764,2.489710761,14.5553645,19.34251188,0.043338519,0.324427068,0.632234414
TCGA.69.7765,1.117453202,15.35073991,13.85983351,0.025607542,0.622218859,0.352173598
TCGA.69.7973,0.093483138,1.519434499,5.428091411,0.001069088,0.021038335,0.977892577
TCGA.69.7974,1.80071338,16.55200501,13.13571817,0.032986012,0.653652439,0.313361549
TCGA.69.7978,1.44837283,14.01787003,9.73435578,0.02583134,0.804692853,0.169475808
TCGA.69.7979,0.080968976,12.87163764,11.77917459,0.000904835,0.500420971,0.498674193
TCGA.69.7980,3.064907049,12.86942628,8.934364515,0.096256134,0.661749255,0.241994611
TCGA.69.8253,1.918358557,13.87887504,18.54812115,0.039561966,0.242459673,0.71797836
TCGA.69.8254,4.957550941,9.277568276,16.34423855,0.105954824,0.258998216,0.635046959
TCGA.69.8255,3.259006388,11.46310054,16.25286396,0.060547383,0.285634962,0.653817655
TCGA.69.8453,1.219747842,13.3945484,12.4605274,0.02370864,0.597899134,0.378392226
TCGA.69.A59K,2.141414143,13.27303204,6.394731551,0.054111335,0.844878932,0.101009733
TCGA.71.6725,0.056126552,0.632235908,6.525108945,0.000387979,0.005303141,0.99430888
TCGA.73.4658,0,13.59586747,14.68667908,0,0.519859345,0.480140655
TCGA.73.4659,0.061147341,11.18805567,13.30088433,0.000435507,0.278258181,0.721306312
TCGA.73.4662,2.634238353,18.78020811,19.24320983,0.068505647,0.39410493,0.537389423
TCGA.73.4666,0.006244234,18.78207612,16.67187107,2.93E-05,0.635675357,0.364295336
TCGA.73.4668,0.384752539,14.63987371,15.48311493,0.004369009,0.40479005,0.59084094
TCGA.73.4670,0.343661314,16.92277444,18.70874686,0.002704431,0.313657423,0.683638146
